SMILES
COC1=C(C=C(C=C1)Br)CNC23CC4CC(C2)CC(C4)C3
CCOC1=CC=C(C=C1)S(=O)(=O)[C@H]2CS(=O)(=O)C[C@@H]2NCCC3=CNC4=CC=CC=C43
CC1=C(C(N2C(=O)CCSC2=N1)C3=C(C=C(C=C3)Cl)Cl)C(=O)OCC(C)C
C1=CC(=C(C=C1COC(=O)C2=CC(=C(C=C2)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
C[C@@H]1CCC[C@@H](N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C
CCC1=CC=CC=C1NC(=O)CN2C(=O)N3C4=C(C(=O)N(C3=N2)C)N(C=C4C5=CC=CC=C5)C
C1CC(C1)C(=O)N2CCCC(C2)COC3=CC=CC(=C3)C(=O)NC4CC4
C/C(=N/NC(=O)CC1=CC=C(C=C1)Br)/C2=CC=C(C=C2)NC(=O)CC3=CC=C(C=C3)OC
C1=CC(=CC(=C1)NC(=O)COCC(=O)NC2=C(C=C(C=C2)Cl)C(=O)O)C3=COC=C3
C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N
